mature_accession	mature_name	mature_confidence	precursor_accession	precursor_name	precursor_confidence
MIMAT0027618	hsa-miR-6859-5p	low	MI0022705	hsa-mir-6859-1	low
MIMAT0027619	hsa-miR-6859-3p	low	MI0022705	hsa-mir-6859-1	low
MIMAT0005890	hsa-miR-1302	low	MI0006363	hsa-mir-1302-2	low
MIMAT0027618	hsa-miR-6859-5p	low	MI0026420	hsa-mir-6859-2	low
MIMAT0027619	hsa-miR-6859-3p	low	MI0026420	hsa-mir-6859-2	low
MIMAT0049032	hsa-miR-12136	low	MI0039740	hsa-mir-12136	low
MIMAT0004571	hsa-miR-200b-5p	high	MI0000342	hsa-mir-200b	high
MIMAT0000318	hsa-miR-200b-3p	high	MI0000342	hsa-mir-200b	high
MIMAT0001620	hsa-miR-200a-5p	high	MI0000737	hsa-mir-200a	high
MIMAT0000682	hsa-miR-200a-3p	high	MI0000737	hsa-mir-200a	high
MIMAT0001536	hsa-miR-429	high	MI0001641	hsa-mir-429	high
MIMAT0027353	hsa-miR-6726-5p	low	MI0022571	hsa-mir-6726	low
MIMAT0027354	hsa-miR-6726-3p	low	MI0022571	hsa-mir-6726	low
MIMAT0027355	hsa-miR-6727-5p	low	MI0022572	hsa-mir-6727	low
MIMAT0027356	hsa-miR-6727-3p	low	MI0022572	hsa-mir-6727	low
MIMAT0027516	hsa-miR-6808-5p	low	MI0022653	hsa-mir-6808	low
MIMAT0027517	hsa-miR-6808-3p	low	MI0022653	hsa-mir-6808	low
MIMAT0016883	hsa-miR-4251	low	MI0015861	hsa-mir-4251	low
MIMAT0003214	hsa-miR-551a	low	MI0003556	hsa-mir-551a	low
MIMAT0019778	hsa-miR-4689	low	MI0017322	hsa-mir-4689	low
MIMAT0016886	hsa-miR-4252	low	MI0015864	hsa-mir-4252	low
MIMAT0027357	hsa-miR-6728-5p	low	MI0022573	hsa-mir-6728	low
MIMAT0027358	hsa-miR-6728-3p	low	MI0022573	hsa-mir-6728	low
MIMAT0000255	hsa-miR-34a-5p	high	MI0000268	hsa-mir-34a	high
MIMAT0004557	hsa-miR-34a-3p	high	MI0000268	hsa-mir-34a	high
MIMAT0022490	hsa-miR-5697	low	MI0019304	hsa-mir-5697	low
MIMAT0027359	hsa-miR-6729-5p	low	MI0022574	hsa-mir-6729	low
MIMAT0027360	hsa-miR-6729-3p	low	MI0022574	hsa-mir-6729	low
MIMAT0030421	hsa-miR-7846-3p	low	MI0025516	hsa-mir-7846	low
MIMAT0019688	hsa-miR-4632-3p	low	MI0017259	hsa-mir-4632	low
MIMAT0022977	hsa-miR-4632-5p	low	MI0017259	hsa-mir-4632	low
MIMAT0027361	hsa-miR-6730-5p	low	MI0022575	hsa-mir-6730	low
MIMAT0027362	hsa-miR-6730-3p	low	MI0022575	hsa-mir-6730	low
MIMAT0018098	hsa-miR-3675-5p	low	MI0016076	hsa-mir-3675	low
MIMAT0018099	hsa-miR-3675-3p	low	MI0016076	hsa-mir-3675	low
MIMAT0019357	hsa-miR-3972	low	MI0016990	hsa-mir-3972	low
MIMAT0019788	hsa-miR-4695-5p	low	MI0017328	hsa-mir-4695	low
MIMAT0019789	hsa-miR-4695-3p	low	MI0017328	hsa-mir-4695	low
MIMAT0005880	hsa-miR-1290	low	MI0006352	hsa-mir-1290	low
MIMAT0023709	hsa-miR-6084	low	MI0020361	hsa-mir-6084	low
MIMAT0005907	hsa-miR-1256	low	MI0006390	hsa-mir-1256	low
MIMAT0018930	hsa-miR-4418	low	MI0016754	hsa-mir-4418	low
MIMAT0024610	hsa-miR-6127	low	MI0021271	hsa-mir-6127	low
MIMAT0019769	hsa-miR-4684-5p	high	MI0017316	hsa-mir-4684	high
MIMAT0019770	hsa-miR-4684-3p	high	MI0017316	hsa-mir-4684	high
MIMAT0016882	hsa-miR-4253	low	MI0015860	hsa-mir-4253	low
MIMAT0014977	hsa-miR-3115	low	MI0014127	hsa-mir-3115	low
MIMAT0018932	hsa-miR-378f	low	MI0016756	hsa-mir-378f	low
MIMAT0027363	hsa-miR-6731-5p	low	MI0022576	hsa-mir-6731	low
MIMAT0027364	hsa-miR-6731-3p	low	MI0022576	hsa-mir-6731	low
MIMAT0018940	hsa-miR-4425	low	MI0016764	hsa-mir-4425	low
MIMAT0018191	hsa-miR-3917	low	MI0016423	hsa-mir-3917	low
MIMAT0009451	hsa-miR-1976	low	MI0009986	hsa-mir-1976	low
MIMAT0018933	hsa-miR-4420	low	MI0016757	hsa-mir-4420	low
MIMAT0016884	hsa-miR-4254	low	MI0015862	hsa-mir-4254	low
MIMAT0022285	hsa-miR-5585-5p	low	MI0019142	hsa-mir-5585	low
MIMAT0022286	hsa-miR-5585-3p	low	MI0019142	hsa-mir-5585	low
MIMAT0017981	hsa-miR-3605-5p	high	MI0015995	hsa-mir-3605	high
MIMAT0017982	hsa-miR-3605-3p	high	MI0015995	hsa-mir-3605	high
MIMAT0003215	hsa-miR-552-3p	high	MI0003557	hsa-mir-552	high
MIMAT0026615	hsa-miR-552-5p	high	MI0003557	hsa-mir-552	high
MIMAT0016885	hsa-miR-4255	low	MI0015863	hsa-mir-4255	low
MIMAT0027365	hsa-miR-6732-5p	low	MI0022577	hsa-mir-6732	low
MIMAT0027366	hsa-miR-6732-3p	low	MI0022577	hsa-mir-6732	low
MIMAT0022275	hsa-miR-5581-5p	low	MI0019136	hsa-mir-5581	low
MIMAT0022276	hsa-miR-5581-3p	low	MI0019136	hsa-mir-5581	low
MIMAT0018080	hsa-miR-3659	low	MI0016060	hsa-mir-3659	low
MIMAT0000692	hsa-miR-30e-5p	high	MI0000749	hsa-mir-30e	high
MIMAT0000693	hsa-miR-30e-3p	high	MI0000749	hsa-mir-30e	high
MIMAT0000244	hsa-miR-30c-5p	high	MI0000736	hsa-mir-30c-1	high
MIMAT0004674	hsa-miR-30c-1-3p	high	MI0000736	hsa-mir-30c-1	high
MIMAT0027367	hsa-miR-6733-5p	high	MI0022578	hsa-mir-6733	high
MIMAT0027368	hsa-miR-6733-3p	high	MI0022578	hsa-mir-6733	high
MIMAT0027369	hsa-miR-6734-5p	high	MI0022579	hsa-mir-6734	high
MIMAT0027370	hsa-miR-6734-3p	high	MI0022579	hsa-mir-6734	high
MIMAT0027371	hsa-miR-6735-5p	high	MI0022580	hsa-mir-6735	high
MIMAT0027372	hsa-miR-6735-3p	high	MI0022580	hsa-mir-6735	high
MIMAT0023704	hsa-miR-6079	low	MI0020356	hsa-mir-6079	low
MIMAT0022283	hsa-miR-5584-5p	low	MI0019141	hsa-mir-5584	low
MIMAT0022284	hsa-miR-5584-3p	low	MI0019141	hsa-mir-5584	low
MIMAT0018934	hsa-miR-4421	low	MI0016758	hsa-mir-4421	low
MIMAT0025454	hsa-miR-6500-5p	low	MI0022211	hsa-mir-6500	low
MIMAT0025455	hsa-miR-6500-3p	low	MI0022211	hsa-mir-6500	low
MIMAT0010364	hsa-miR-761	low	MI0003941	hsa-mir-761	low
MIMAT0019942	hsa-miR-4781-5p	low	MI0017426	hsa-mir-4781	low
MIMAT0019943	hsa-miR-4781-3p	low	MI0017426	hsa-mir-4781	low
MIMAT0018935	hsa-miR-4422	low	MI0016759	hsa-mir-4422	low
MIMAT0019816	hsa-miR-4711-5p	low	MI0017345	hsa-mir-4711	low
MIMAT0019817	hsa-miR-4711-3p	low	MI0017345	hsa-mir-4711	low
MIMAT0049026	hsa-miR-12132	low	MI0039734	hsa-mir-12132	low
MIMAT0014978	hsa-miR-3116	low	MI0014128	hsa-mir-3116-1	low
MIMAT0014978	hsa-miR-3116	low	MI0014129	hsa-mir-3116-2	low
MIMAT0023693	hsa-miR-6068	low	MI0020345	hsa-mir-6068	low
MIMAT0019967	hsa-miR-4794	low	MI0017441	hsa-mir-4794	low
MIMAT0018094	hsa-miR-3671	low	MI0016072	hsa-mir-3671	low
MIMAT0004513	hsa-miR-101-5p	high	MI0000103	hsa-mir-101-1	high
MIMAT0000099	hsa-miR-101-3p	high	MI0000103	hsa-mir-101-1	high
MIMAT0014979	hsa-miR-3117-3p	low	MI0014130	hsa-mir-3117	low
MIMAT0019197	hsa-miR-3117-5p	low	MI0014130	hsa-mir-3117	low
MIMAT0005914	hsa-miR-1262	low	MI0006397	hsa-mir-1262	low
MIMAT0000456	hsa-miR-186-5p	high	MI0000483	hsa-mir-186	high
MIMAT0004612	hsa-miR-186-3p	high	MI0000483	hsa-mir-186	high
MIMAT0028222	hsa-miR-7156-5p	low	MI0023616	hsa-mir-7156	low
MIMAT0028223	hsa-miR-7156-3p	low	MI0023616	hsa-mir-7156	low
MIMAT0019232	hsa-miR-4423-5p	high	MI0016760	hsa-mir-4423	high
MIMAT0018936	hsa-miR-4423-3p	high	MI0016760	hsa-mir-4423	high
MIMAT0030431	hsa-miR-7856-5p	low	MI0025526	hsa-mir-7856	low
MIMAT0004957	hsa-miR-760	high	MI0005567	hsa-mir-760	high
MIMAT0049027	hsa-miR-12133	low	MI0039735	hsa-mir-12133	low
MIMAT0013517	hsa-miR-2682-5p	low	MI0012063	hsa-mir-2682	low
MIMAT0013518	hsa-miR-2682-3p	low	MI0012063	hsa-mir-2682	low
MIMAT0000429	hsa-miR-137-3p	high	MI0000454	hsa-mir-137	high
MIMAT0037310	hsa-miR-137-5p	high	MI0000454	hsa-mir-137	high
MIMAT0003216	hsa-miR-553	low	MI0003558	hsa-mir-553	low
MIMAT0030427	hsa-miR-7852-3p	low	MI0025522	hsa-mir-7852	low
MIMAT0000227	hsa-miR-197-3p	high	MI0000239	hsa-mir-197	high
MIMAT0022691	hsa-miR-197-5p	high	MI0000239	hsa-mir-197	high
MIMAT0016877	hsa-miR-4256	low	MI0015855	hsa-mir-4256	low
MIMAT0044656	hsa-miR-11399	low	MI0036558	hsa-mir-11399	low
MIMAT0018938	hsa-miR-548ac	low	MI0016762	hsa-mir-548ac	low
MIMAT0005792	hsa-miR-320b	low	MI0003776	hsa-mir-320b-1	low
MIMAT0004985	hsa-miR-942-5p	high	MI0005767	hsa-mir-942	high
MIMAT0026734	hsa-miR-942-3p	high	MI0005767	hsa-mir-942	high
MIMAT0027373	hsa-miR-6736-5p	low	MI0022581	hsa-mir-6736	low
MIMAT0027374	hsa-miR-6736-3p	low	MI0022581	hsa-mir-6736	low
MIMAT0021079	hsa-miR-5087	low	MI0017976	hsa-mir-5087	low
MIMAT0023702	hsa-miR-6077	low	MI0020354	hsa-mir-6077	low
MIMAT0027656	hsa-miR-6878-5p	low	MI0022725	hsa-mir-6878	low
MIMAT0027657	hsa-miR-6878-3p	low	MI0022725	hsa-mir-6878	low
MIMAT0016878	hsa-miR-4257	low	MI0015856	hsa-mir-4257	low
MIMAT0003217	hsa-miR-554	low	MI0003559	hsa-mir-554	low
MIMAT0031010	hsa-miR-8083	low	MI0025919	hsa-mir-8083	low
MIMAT0027375	hsa-miR-6737-5p	low	MI0022582	hsa-mir-6737	low
MIMAT0027376	hsa-miR-6737-3p	low	MI0022582	hsa-mir-6737	low
MIMAT0022491	hsa-miR-5698	low	MI0019305	hsa-mir-5698	low
MIMAT0004929	hsa-miR-190b-5p	low	MI0005545	hsa-mir-190b	low
MIMAT0037332	hsa-miR-190b-3p	low	MI0005545	hsa-mir-190b	low
MIMAT0016879	hsa-miR-4258	low	MI0015857	hsa-mir-4258	low
MIMAT0004792	hsa-miR-92b-5p	high	MI0003560	hsa-mir-92b	high
MIMAT0003218	hsa-miR-92b-3p	high	MI0003560	hsa-mir-92b	high
MIMAT0003219	hsa-miR-555	low	MI0003561	hsa-mir-555	low
MIMAT0027377	hsa-miR-6738-5p	low	MI0022583	hsa-mir-6738	low
MIMAT0027378	hsa-miR-6738-3p	low	MI0022583	hsa-mir-6738	low
MIMAT0000441	hsa-miR-9-5p	high	MI0000466	hsa-mir-9-1	high
MIMAT0000442	hsa-miR-9-3p	high	MI0000466	hsa-mir-9-1	high
MIMAT0003945	hsa-miR-765	low	MI0005116	hsa-mir-765	low
MIMAT0016880	hsa-miR-4259	low	MI0015858	hsa-mir-4259	low
MIMAT0021117	hsa-miR-5187-5p	high	MI0018166	hsa-mir-5187	high
MIMAT0021118	hsa-miR-5187-3p	high	MI0018166	hsa-mir-5187	high
MIMAT0019720	hsa-miR-4654	low	MI0017282	hsa-mir-4654	low
MIMAT0003220	hsa-miR-556-5p	high	MI0003562	hsa-mir-556	high
MIMAT0004793	hsa-miR-556-3p	high	MI0003562	hsa-mir-556	high
MIMAT0018078	hsa-miR-3658	low	MI0016058	hsa-mir-3658	low
MIMAT0004971	hsa-miR-921	low	MI0005713	hsa-mir-921	low
MIMAT0005945	hsa-miR-1255b-5p	low	MI0006436	hsa-mir-1255b-2	low
MIMAT0022725	hsa-miR-1255b-2-3p	low	MI0006436	hsa-mir-1255b-2	low
MIMAT0003221	hsa-miR-557	low	MI0003563	hsa-mir-557	low
MIMAT0014981	hsa-miR-3119	low	MI0014134	hsa-mir-3119-1	low
MIMAT0014981	hsa-miR-3119	low	MI0014135	hsa-mir-3119-2	low
MIMAT0005885	hsa-miR-1295a	low	MI0006357	hsa-mir-1295a	low
MIMAT0022293	hsa-miR-1295b-5p	low	MI0019146	hsa-mir-1295b	low
MIMAT0022294	hsa-miR-1295b-3p	low	MI0019146	hsa-mir-1295b	low
MIMAT0004564	hsa-miR-214-5p	high	MI0000290	hsa-mir-214	high
MIMAT0000271	hsa-miR-214-3p	high	MI0000290	hsa-mir-214	high
MIMAT0014982	hsa-miR-3120-3p	low	MI0014136	hsa-mir-3120	low
MIMAT0019198	hsa-miR-3120-5p	low	MI0014136	hsa-mir-3120	low
MIMAT0000231	hsa-miR-199a-5p	high	MI0000281	hsa-mir-199a-2	high
MIMAT0000232	hsa-miR-199a-3p	high	MI0000281	hsa-mir-199a-2	high
MIMAT0039764	hsa-miR-1843	low	MI0032314	hsa-mir-1843	low
MIMAT0002804	hsa-miR-488-5p	high	MI0003123	hsa-mir-488	high
MIMAT0004763	hsa-miR-488-3p	high	MI0003123	hsa-mir-488	high
MIMAT0018939	hsa-miR-4424	low	MI0016763	hsa-mir-4424	low
MIMAT0049010	hsa-miR-12116	low	MI0039718	hsa-mir-12116	low
MIMAT0014983	hsa-miR-3121-3p	low	MI0014137	hsa-mir-3121	low
MIMAT0019199	hsa-miR-3121-5p	low	MI0014137	hsa-mir-3121	low
MIMAT0018941	hsa-miR-4426	low	MI0016765	hsa-mir-4426	low
MIMAT0005936	hsa-miR-1278	low	MI0006425	hsa-mir-1278	low
MIMAT0019860	hsa-miR-4735-5p	low	MI0017372	hsa-mir-4735	low
MIMAT0019861	hsa-miR-4735-3p	low	MI0017372	hsa-mir-4735	low
MIMAT0000257	hsa-miR-181b-5p	high	MI0000270	hsa-mir-181b-1	high
