SampleID	ERR2619766	ERR2619772	ERR2619776	ERR2619778	ERR2619780	ERR2619781	ERR2619782	ERR2619783	ERR2619785	ERR2635202	SRR2487415	SRR2487416	SRR2487417	SRR2487418	SRR2487419	SRR2487420	SRR2487421	SRR2487422	SRR2487423	SRR2487424	SRR2487425	SRR2487426	SRR2487427	SRR2487428	SRR2487429	SRR2487430	SRR2487434	SRR2487435	SRR2487436	SRR3703111	SRR3703112	SRR3703113	SRR3703114	SRR3703115	SRR3703116	SRR3703117	SRR3703118	SRR3703147	SRR3703148	SRR3703149	SRR3703150	SRR3703151	SRR3703152	SRR3703153	SRR3703154	SRR3703155
hsa-let-7a-2-3p	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	63.5	118.5	57.0	82.0	82.5	140.0	68.5	0.0	9.5	0.0	46.0	0.0	67.0	22.5	0.0	67.5	78.0
hsa-let-7a-3p	24.0	15.0	23.0	24.0	14.0	14.0	18.0	17.0	14.0	35.0	309.0	281.0	325.0	129.0	113.0	125.0	0.0	146.0	109.0	130.66	0.0	140.0	120.0	150.0	0.0	381.0	183.0	170.0	193.0	3022.66	7140.0	1951.66	2124.0	2593.0	4405.66	5503.66	0.0	609.66	3.0	1061.66	1.0	317.0	339.0	0.0	425.0	402.0
hsa-let-7a-5p	2243.05	4864.04	12365.71	20246.41	8064.34	10525.36	13996.26	8827.16	13555.66	28925.33	138984.39	125509.22	138306.01	50959.9	46287.14	50803.77	5.01	78461.43	71274.66	77690.41	0.0	60374.24	54471.44	60286.09	11.49	156529.92	97747.29	87677.38	97129.32	659361.53	1987239.96	390631.68	283998.41	501800.32	300325.6	991058.18	124.11	66643.06	126.49	128994.11	193.6	59160.87	70627.45	21.75	102891.76	76843.04
hsa-let-7b-3p	22.0	21.0	54.0	47.0	15.0	29.0	43.0	13.0	44.0	59.0	473.0	386.0	471.0	165.0	157.0	190.0	0.0	216.0	185.0	177.0	0.0	143.0	139.0	137.0	0.0	391.0	239.0	179.0	216.0	1037.5	1932.5	655.0	891.0	1742.5	985.33	1648.33	0.0	183.0	0.0	451.0	0.0	274.0	230.0	0.0	324.0	184.0
hsa-let-7b-5p	531.75	878.5	1841.25	2098.2	1140.75	1640.0	1929.0	1365.0	2118.25	2955.7	32440.25	29002.4	31630.2	12069.95	11049.9	11982.45	0.0	19179.5	17635.7	19053.5	0.0	11493.33	10127.0	11307.75	1.0	38041.75	15486.75	13889.75	15353.5	333421.47	1154596.98	186605.77	197658.5	471573.77	119064.15	424721.07	86.75	36084.75	59.0	82777.7	150.5	40917.65	111625.45	17.0	94925.1	41413.97
hsa-let-7c-3p	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	28.0	31.0	31.0	6.0	3.0	2.0	0.0	13.0	4.0	7.0	0.0	7.0	5.0	10.0	0.0	18.0	1.0	1.0	2.0	251.5	309.5	103.0	147.0	228.5	294.0	191.0	0.0	53.0	1.0	23.0	0.0	10.0	13.0	0.0	71.0	25.0
hsa-let-7c-5p	66.7	533.62	459.37	2463.97	94.95	138.4	206.63	114.4	166.13	3388.76	18356.08	16717.42	18332.34	3329.13	3097.67	3377.14	1.0	6739.4	6042.37	6550.8	0.0	7781.37	6757.48	7633.27	2.0	17743.71	3116.2	2599.07	2942.55	74845.94	123200.3	40105.26	24597.48	38398.39	27625.53	73008.32	12.95	4286.53	6.0	2969.83	16.45	2262.91	2066.73	3.25	16052.42	3320.18
hsa-let-7d-3p	11.0	29.0	90.0	85.0	27.0	41.0	32.0	29.0	44.0	90.0	991.0	679.0	934.0	610.0	423.0	642.0	0.0	793.0	512.0	756.0	0.0	524.0	378.0	489.0	0.0	675.0	545.0	415.0	566.0	10264.5	29781.5	8148.0	13676.0	14877.0	13135.0	17703.0	2.0	9092.0	6.0	10218.0	10.0	2706.0	5046.0	1.0	2173.0	2992.0
hsa-let-7d-5p	62.0	99.0	215.0	369.0	116.5	142.75	172.5	218.5	243.0	456.75	7010.6	5646.9	6951.65	2865.3	2441.8	2867.75	0.0	4786.45	4002.1	4705.45	0.0	4163.3	3447.9	4148.1	1.5	8462.45	5426.45	4519.05	5313.55	3789.3	18074.9	3000.75	4704.1	4773.8	3115.2	6771.85	0.0	4667.0	1.0	8811.25	4.0	1272.5	2410.0	2.0	1479.75	1649.25
hsa-let-7e-3p	0.0	1.0	4.0	15.0	0.0	5.0	2.0	2.0	2.0	14.0	94.0	69.0	83.0	24.0	24.0	29.0	0.0	55.0	51.0	62.0	0.0	47.0	28.0	35.0	0.0	81.0	29.0	29.0	28.0	354.0	483.0	418.0	467.0	470.0	390.0	388.5	0.0	41.5	0.0	753.0	0.0	126.0	61.5	0.0	95.5	168.0
