miRNA	TSI	Most epxressed condition	Expression
hsa-miR-4772-3p	0.999324662294	Lung	2.13518978809
hsa-miR-552-3p	0.999258880969	Stomach	1.94567149566
hsa-miR-758-5p	0.999073851463	Lung	1.55695778342
hsa-miR-1287-3p	0.998731121106	Lung	1.13641591841
hsa-miR-4709-3p	0.998718485258	Lung	1.12521075754
hsa-miR-301b-5p	0.998501652687	Lung	0.962376453903
hsa-miR-767-3p	0.998325853085	Lung	0.861318777296
hsa-miR-3180-3p	0.998106092569	Stomach	0.761375213308
hsa-miR-877-3p	0.998074140771	Lung	0.748743289386
hsa-miR-509-3-5p	0.998038936958	Kidney	0.735302304352
hsa-miR-122b-5p	0.998012432918	Kidney	0.725497110001
hsa-miR-509-5p	0.997813547446	Kidney	0.659503985555
hsa-miR-5010-5p	0.99780665577	Kidney	0.657431767496
hsa-miR-1185-1-3p	0.997755845341	Kidney	0.642546701528
hsa-miR-584-3p	0.997649730808	Lung	0.613535751021
hsa-miR-548b-3p	0.997419320407	Lung	1.53941336655
hsa-miR-548at-5p	0.997315179393	Kidney	0.537083993735
hsa-miR-490-5p	0.997208670863	Stomach	0.516590521336
hsa-miR-491-3p	0.997155265149	Lung	0.506892293731
hsa-miR-205-3p	0.997129565088	Lung	0.502353900437
hsa-miR-6720-3p	0.996582527183	Lung	0.421941666036
hsa-miR-302a-5p	0.996352336305	Stomach	0.395314451805
hsa-miR-3614-3p	0.996273272996	Lung	0.386927771287
hsa-miR-513a-5p	0.996036110996	Kidney	0.36377763669
hsa-miR-1276	0.995862785725	Stomach	0.348537464629
hsa-miR-605-3p	0.995822797989	Stomach	0.345200967069
hsa-miR-519a-5p	0.995727388616	Lung	0.337492471077
hsa-miR-3187-3p	0.995558193284	Lung	0.324636857472
hsa-miR-3617-3p	0.995536674152	Lung	0.323071678595
hsa-miR-3616-3p	0.994805945394	Lung	0.277620141337
hsa-miR-3059-5p	0.994694055833	Lung	0.271765802371
hsa-miR-487a-5p	0.994148210923	Lung	0.246415951573
hsa-miR-548ar-5p	0.99413016641	Stomach	0.245658441904
hsa-miR-1-5p	0.99413016641	Stomach	0.245658441904
hsa-miR-4433b-5p	0.993913464858	Stomach	0.236912157779
hsa-miR-3157-5p	0.993913464858	Stomach	0.236912157779
hsa-miR-208b-3p	0.993913464858	Stomach	0.236912157779
hsa-miR-345-3p	0.993643210569	Lung	0.226840009336
hsa-miR-6820-3p	0.993465181097	Lung	0.220660158351
hsa-miR-137-3p	0.993460480306	Lung	0.220501541593
hsa-miR-1271-3p	0.993424717502	Lung	0.21930223901
hsa-miR-548aq-5p	0.993272266229	Lung	0.214332823367
hsa-miR-6735-5p	0.993115577142	Kidney	0.209454620029
hsa-miR-585-5p	0.992894469625	Kidney	0.202936881255
hsa-miR-548ap-5p	0.99279413132	Stomach	0.200111081397
hsa-miR-3200-5p	0.991816933562	Kidney	0.176214403839
hsa-miR-4796-3p	0.990911037163	Kidney	0.158651124415
hsa-miR-6509-3p	0.990837002969	Stomach	0.157369272204
hsa-miR-4670-5p	0.990837002969	Stomach	0.157369272204
hsa-miR-375-5p	0.990837002969	Stomach	0.157369272204
hsa-miR-1180-5p	0.990837002969	Stomach	0.157369272204
hsa-miR-561-3p	0.99075032716	Stomach	0.155894613667
hsa-miR-149-3p	0.990649099183	Lung	0.154206979857
hsa-miR-381-5p	0.990326268024	Lung	0.149060794474
hsa-miR-450a-2-3p	0.990298773893	Kidney	0.148638343035
hsa-miR-6734-5p	0.989674966265	Kidney	0.139658059327
hsa-miR-514b-3p	0.989570764084	Kidney	0.138262686306
hsa-miR-5682	0.989191354525	Lung	0.133409332112
hsa-miR-6793-5p	0.989150939223	Stomach	0.132912350986
hsa-miR-6514-3p	0.989150939223	Stomach	0.132912350986
hsa-miR-598-5p	0.989150939223	Stomach	0.132912350986
hsa-miR-495-5p	0.989150939223	Stomach	0.132912350986
hsa-miR-3140-3p	0.989150939223	Stomach	0.132912350986
hsa-miR-1537-3p	0.989150939223	Stomach	0.132912350986
hsa-miR-5586-5p	0.98875825622	Lung	0.128269617425
hsa-miR-3939	0.988426563259	Kidney	0.124593429435
hsa-miR-5187-5p	0.988354329707	Lung	0.123820624969
hsa-miR-3144-3p	0.988173139813	Lung	0.121923667912
hsa-miR-512-3p	0.987788437147	Stomach	0.236912157779
hsa-miR-642b-5p	0.987321140507	Stomach	0.113730590257
hsa-miR-4433b-3p	0.987275209556	Lung	0.113320072361
hsa-miR-1245a	0.987246759975	Stomach	0.113067281023
hsa-miR-4524a-3p	0.98701343236	Lung	0.111035818998
hsa-miR-1298-5p	0.986591473876	Kidney	0.107541586639
hsa-miR-122-3p	0.986082149493	Kidney	0.103606097306
hsa-miR-5001-5p	0.98573379497	Lung	0.101076226711
hsa-miR-105-3p	0.985589951069	Lung	0.100067264229
hsa-miR-510-5p	0.984622846269	Kidney	0.0937738022989
hsa-miR-3189-3p	0.98442567146	Lung	0.0925866030253
hsa-miR-96-3p	0.98340592129	Lung	0.0868969105864
hsa-miR-146a-3p	0.982793363144	Lung	0.31521710118
hsa-miR-519a-3p	0.982178662309	Lung	0.0809127911114
hsa-miR-514a-5p	0.980124509663	Kidney	0.563817213176
