miRNA	TSI	Most epxressed condition	Expression
hsa-miR-122-5p	0.999727720632	disease_Kidney	5.2959362438
hsa-miR-552-3p	0.999597325917	disease_Stomach	3.58099573816
hsa-miR-490-3p	0.999578397861	disease_Stomach	3.42022499139
hsa-miR-103a-1-5p	0.99951829063	disease_Lung	2.99345261415
hsa-miR-552-5p	0.999468133183	disease_Stomach	2.71115649338
hsa-miR-301b-5p	0.999206197591	disease_Lung	1.81654043588
hsa-miR-1287-3p	0.999156013714	disease_Lung	1.70852796839
hsa-miR-767-3p	0.999112988109	disease_Lung	1.62565371341
hsa-miR-3180-3p	0.999052148713	disease_Stomach	1.52130845244
hsa-miR-877-3p	0.998979502604	disease_Lung	1.41301112513
hsa-miR-758-5p	0.998936707606	disease_Lung	1.3561407778
hsa-miR-4772-3p	0.99888658878	disease_Lung	1.29509578114
hsa-miR-3664-3p	0.998813400921	disease_Kidney	1.21521598993
hsa-miR-548b-3p	0.99877700471	disease_Lung	1.17905128923
hsa-miR-122b-5p	0.998679394026	disease_Kidney	1.09190341579
hsa-miR-490-5p	0.99860238483	disease_Stomach	1.0317390685
hsa-miR-942-3p	0.998575868091	disease_Lung	1.01252852009
hsa-miR-205-3p	0.99847830249	disease_Lung	0.947608946004
hsa-miR-5001-3p	0.998292954363	disease_Lung	0.844719170328
hsa-miR-20b-3p	0.998280737616	disease_Lung	0.838716758819
hsa-miR-548at-5p	0.998257652887	disease_Kidney	0.827604421026
hsa-miR-302a-5p	0.998172835712	disease_Stomach	0.789186929436
hsa-miR-584-3p	0.998005932861	disease_Lung	0.723132208443
hsa-miR-1276	0.997927104857	disease_Stomach	0.695632955083
hsa-miR-5010-5p	0.997867253747	disease_Kidney	0.676111455821
hsa-miR-4709-3p	0.997750940525	disease_Lung	0.641145416467
hsa-miR-491-3p	0.997725885305	disease_Lung	0.634081551556
hsa-miR-3187-3p	0.997643529627	disease_Lung	0.611921198182
hsa-miR-3617-3p	0.997632089253	disease_Lung	0.608964749192
hsa-miR-627-3p	0.997557779359	disease_Kidney	0.59043566728
hsa-miR-18b-5p	0.99724827413	disease_Lung	0.524025372437
hsa-miR-3616-3p	0.997243468703	disease_Lung	0.523111845481
hsa-miR-642a-3p	0.997204054493	disease_Kidney	0.51573758146
hsa-miR-3059-5p	0.997183939271	disease_Lung	0.512053649658
hsa-miR-2114-5p	0.997158100463	disease_Kidney	0.507398011541
hsa-miR-508-5p	0.997084594096	disease_Lung	0.494604944084
hsa-miR-548ar-5p	0.997056444113	disease_Stomach	0.489874909634
hsa-miR-1-5p	0.997056444113	disease_Stomach	0.489874909634
hsa-miR-4433b-5p	0.99694744268	disease_Stomach	0.472382341384
hsa-miR-3157-5p	0.99694744268	disease_Stomach	0.472382341384
hsa-miR-208b-3p	0.99694744268	disease_Stomach	0.472382341384
hsa-miR-345-3p	0.996624543446	disease_Lung	0.42719381837
hsa-miR-6820-3p	0.996529718151	disease_Lung	0.415520766509
hsa-miR-137-3p	0.996527214114	disease_Lung	0.415221157078
hsa-miR-1271-3p	0.996508163472	disease_Lung	0.412955807754
hsa-miR-548aq-5p	0.996426946331	disease_Lung	0.40356913376
hsa-miR-1185-1-3p	0.996410988397	disease_Kidney	0.401774731732
hsa-miR-4786-5p	0.9963348542	disease_Lung	0.393428870887
hsa-miR-2276-3p	0.996240178458	disease_Lung	0.383521972447
hsa-miR-556-5p	0.995857930556	disease_Lung	0.348128922851
hsa-miR-506-3p	0.995669689129	disease_Lung	0.332995532394
hsa-miR-487a-5p	0.995520504605	disease_Lung	0.321905493051
hsa-miR-149-3p	0.995027642617	disease_Lung	0.28999809602
hsa-miR-548ap-5p	0.995025529544	disease_Stomach	0.289874909634
hsa-miR-3200-5p	0.994942612852	disease_Kidney	0.28512236296
hsa-miR-381-5p	0.994855191543	disease_Lung	0.28027752363
hsa-miR-6720-3p	0.994770027521	disease_Lung	0.275713529963
hsa-miR-876-5p	0.994248521481	disease_Lung	0.250713650279
hsa-miR-5682	0.994248521481	disease_Lung	0.250713650279
hsa-miR-4802-3p	0.994040397791	disease_Kidney	0.241958124604
