miRNA	TSI	Most epxressed condition	Expression
hsa-miR-196a-3p	0.99959671879	healthy_Kidney	3.5756046594
hsa-miR-4772-3p	0.999531871487	healthy_Lung	3.08029554591
hsa-let-7a-2-3p	0.999235158952	healthy_Lung	1.88532529448
hsa-miR-758-5p	0.999191209353	healthy_Lung	1.78287691475
hsa-miR-509-3-5p	0.999173350707	healthy_Kidney	1.74436025835
hsa-miR-4709-3p	0.999136430853	healthy_Lung	1.66978426625
hsa-miR-509-5p	0.999078221573	healthy_Kidney	1.5643392512
hsa-miR-433-3p	0.99903819374	healthy_Kidney	1.49923558861
hsa-miR-129-2-3p	0.998971709645	healthy_Stomach	1.40230253699
hsa-miR-514a-5p	0.998921552369	healthy_Kidney	1.3370831668
hsa-miR-449c-5p	0.998889053144	healthy_Kidney	1.29796863428
hsa-miR-876-3p	0.998732201486	healthy_Stomach	1.13738433832
hsa-miR-887-5p	0.998708197571	healthy_Kidney	1.11624977732
hsa-miR-1185-1-3p	0.998518937871	healthy_Kidney	0.973608159997
hsa-miR-33b-3p	0.99851889132	healthy_Stomach	0.97357755925
hsa-miR-513a-5p	0.99832715512	healthy_Kidney	0.861989172649
hsa-miR-122-5p	0.99827300037	healthy_Stomach	0.834959167834
hsa-miR-365b-5p	0.998239478575	healthy_Kidney	0.819060849339
hsa-miR-487a-3p	0.998238125955	healthy_Kidney	0.818432042896
hsa-miR-506-3p	0.99810424623	healthy_Kidney	0.760633684132
hsa-miR-4423-5p	0.997964652612	healthy_Lung	0.708465877796
hsa-miR-876-5p	0.99790702761	healthy_Stomach	0.688959959963
hsa-miR-605-3p	0.99790702761	healthy_Stomach	0.688959959963
hsa-miR-3614-3p	0.997736459895	healthy_Lung	0.637043792776
hsa-miR-5010-5p	0.997717482273	healthy_Kidney	0.63174719605
hsa-miR-7-2-3p	0.997682465625	healthy_Stomach	0.62220184922
hsa-miR-664b-5p	0.997582067972	healthy_Kidney	0.596366712333
hsa-miR-6720-3p	0.997541174342	healthy_Lung	0.586448319119
hsa-miR-130a-5p	0.997305662999	healthy_Lung	0.53518701393
hsa-miR-1287-3p	0.997073855847	healthy_Lung	0.492789862179
hsa-miR-584-3p	0.99705863465	healthy_Lung	0.490239736422
hsa-miR-2276-3p	0.996894858298	healthy_Stomach	0.464382727798
hsa-miR-370-5p	0.996794750596	healthy_Lung	0.449878930523
hsa-miR-519a-5p	0.996770522489	healthy_Lung	0.446503859855
hsa-miR-545-3p	0.996486263043	healthy_Stomach	0.410381935668
hsa-miR-1910-5p	0.996486263043	healthy_Stomach	0.410381935668
hsa-miR-6741-3p	0.996400113183	healthy_Kidney	0.400560975144
hsa-miR-548b-3p	0.996168014067	healthy_Lung	1.94482070353
hsa-miR-365a-5p	0.996158058675	healthy_Kidney	0.375324361263
hsa-miR-491-3p	0.996036402368	healthy_Lung	0.363804378679
hsa-miR-514b-3p	0.995582067389	healthy_Kidney	0.326391165489
hsa-miR-6509-3p	0.995397414747	healthy_Stomach	0.313296570234
hsa-miR-4670-5p	0.995397414747	healthy_Stomach	0.313296570234
hsa-miR-375-5p	0.995397414747	healthy_Stomach	0.313296570234
hsa-miR-3194-5p	0.995397414747	healthy_Stomach	0.313296570234
hsa-miR-1180-5p	0.995397414747	healthy_Stomach	0.313296570234
hsa-miR-561-3p	0.995353675087	healthy_Stomach	0.31034725316
hsa-miR-552-3p	0.995353675087	healthy_Stomach	0.31034725316
hsa-miR-585-5p	0.995248076737	healthy_Kidney	0.303450643924
hsa-miR-5586-5p	0.99467809425	healthy_Lung	0.270950716083
hsa-miR-6793-5p	0.994545883591	healthy_Stomach	0.264382727798
hsa-miR-6514-3p	0.994545883591	healthy_Stomach	0.264382727798
hsa-miR-598-5p	0.994545883591	healthy_Stomach	0.264382727798
hsa-miR-495-5p	0.994545883591	healthy_Stomach	0.264382727798
hsa-miR-4786-5p	0.994545883591	healthy_Stomach	0.264382727798
hsa-miR-4707-3p	0.994545883591	healthy_Stomach	0.264382727798
hsa-miR-3140-3p	0.994545883591	healthy_Stomach	0.264382727798
hsa-miR-15a-3p	0.994545883591	healthy_Stomach	0.264382727798
hsa-miR-1537-3p	0.994545883591	healthy_Stomach	0.264382727798
hsa-miR-4796-3p	0.994287580773	healthy_Kidney	0.252427932282
hsa-miR-4433b-3p	0.993971249717	healthy_Lung	0.239182932821
hsa-miR-4524a-3p	0.993846366333	healthy_Lung	0.234328894425
hsa-miR-642b-5p	0.993620125487	healthy_Stomach	0.22601920634
hsa-miR-675-5p	0.993521534153	healthy_Kidney	0.222579574834
hsa-miR-122b-5p	0.993495492246	healthy_Kidney	0.221688439537
hsa-miR-510-5p	0.993467250746	healthy_Kidney	0.220730065971
hsa-miR-6734-5p	0.993090981087	healthy_Kidney	0.208708963164
hsa-miR-6735-5p	0.992803484935	healthy_Kidney	0.200371174213
hsa-miR-487a-5p	0.991070826475	healthy_Lung	0.16149021741
hsa-miR-552-5p	0.990498594033	healthy_Lung	0.151764294565
hsa-miR-20b-3p	0.990131294269	healthy_Kidney	0.146115834557
hsa-miR-182-3p	0.98985946757	healthy_Stomach	0.734924485326
hsa-miR-548at-5p	0.989521938136	healthy_Kidney	0.137618406209
hsa-miR-197-5p	0.989056208969	healthy_Kidney	0.131761851976
hsa-miR-513c-5p	0.988812895655	healthy_Kidney	0.666171097312
hsa-miR-523-5p	0.988413157874	healthy_Lung	0.12444928119
hsa-miR-522-5p	0.988413157874	healthy_Lung	0.12444928119
hsa-miR-519c-5p	0.988413157874	healthy_Lung	0.12444928119
hsa-miR-519b-5p	0.988413157874	healthy_Lung	0.12444928119
hsa-miR-518e-5p	0.988413157874	healthy_Lung	0.12444928119
hsa-miR-3064-5p	0.987535752405	healthy_Kidney	0.115688826218
hsa-miR-548aq-3p	0.98716154626	healthy_Stomach	0.112316810351
hsa-miR-548ap-5p	0.986932396298	healthy_Stomach	0.11034725316
hsa-miR-92a-2-5p	0.986165512084	healthy_Kidney	0.104230397441
hsa-miR-216a-3p	0.986165512084	healthy_Kidney	0.104230397441
hsa-miR-329-5p	0.985539680119	healthy_Kidney	0.0997193828181
hsa-miR-548h-3p	0.985103650381	healthy_Stomach	1.63211410937
hsa-miR-6509-5p	0.984692306737	healthy_Kidney	0.375705449702
hsa-miR-503-3p	0.983453031909	healthy_Kidney	0.0871443134447
hsa-miR-4670-3p	0.983453031909	healthy_Kidney	0.0871443134447
hsa-miR-514b-5p	0.983236896312	healthy_Kidney	0.0860207155412
hsa-miR-510-3p	0.983236896312	healthy_Kidney	0.0860207155412
hsa-miR-548ax	0.980613946941	healthy_Kidney	0.0743820399923
hsa-miR-106a-3p	0.980613946941	healthy_Kidney	0.0743820399923
